,address,aggregate_score,category,Lat,Lon,name,phone_number,price_quartile,reservation_url,restaurant_site,review_count
80,41 Tunnel Road,,"['Californian', 'Contemporary American', 'Organic']",37.8574760,-122.2420200,Meritage at the Claremont,,$$$,http://www.opentable.com/restaurant/profile/362,www.fairmont.com/claremont-berkeley/dining/meritage/,
7,100 Seawall Drive,,"['Seafood', 'Steak', 'Sushi']",37.8630620,-122.3173560,Skates on the Bay,,$$,http://www.opentable.com/restaurant/profile/1067,skatesonthebay.com/page/home,
62,1919 Fourth Street,,"['Seafood', 'Steak', 'American']",37.8682070,-122.2998050,Spenger's Fresh Fish Grotto,,$$,http://www.opentable.com/restaurant/profile/6724,www.Spengers.com,
59,1539 Solano Ave,,"['Contemporary American', 'Californian']",37.8912920,-122.2863300,Rivoli Restaurant,,$$$,http://www.opentable.com/restaurant/profile/7013,www.rivolirestaurant.com,
11,1329 Gilman,,"['Californian', 'French']",37.8811370,-122.2886200,Lalime's,,$$$,http://www.opentable.com/restaurant/profile/14395,www.lalimes.com,
13,2600 Durant Avenue,,"['Californian', 'Gastro Pub', 'American']",37.8681320,-122.2567240,Henry's - Graduate Berkeley,,$$,http://www.opentable.com/restaurant/profile/22204,www.henrysberkeley.com,
36,199 Seawall Drive,,"['American', 'Seafood', 'Steak']",37.8598090,-122.3163550,HS Lordships,,$$,http://www.opentable.com/restaurant/profile/23680,www.hslordships.com,
85,1788 Shattuck Avenue,,['Italian'],37.8749860,-122.2687780,Corso Ristorante,,$$,http://www.opentable.com/restaurant/profile/27703,www.corsoberkeley.com,
53,2086 Allston Way,,['American'],37.8693450,-122.2683160,FIVE,,$$,http://www.opentable.com/restaurant/profile/31990,www.five-berkeley.com,
61,2200 Oxford Street,,"['Californian', 'American', 'Organic']",37.8694360,-122.2659660,Gather,,$$,http://www.opentable.com/restaurant/profile/36430,www.gatherrestaurant.com/,
2,2102 Shattuck Avenue,,"['Californian', 'Contemporary American']",37.8710680,-122.2682800,Revival Bar+Kitchen,,$$,http://www.opentable.com/restaurant/profile/45502,www.revivalbarandkitchen.com,
96,800 Heinz Avenue,,['Italian'],37.8530340,-122.2935180,Riva Cucina,,$$,http://www.opentable.com/restaurant/profile/47218,www.rivacucina.com,
1,1888 Solano Ave.,,"['Indian', 'Vegetarian / Vegan', 'Contemporary Indian']",37.8914460,-122.2775170,Ajanta Restaurant,,$$,http://www.opentable.com/restaurant/profile/49684,www.ajantarestaurant.com,
56,2377 Shattuck Ave.,,"['French', 'Provencal']",37.8661740,-122.2675250,La Note Restaurant Provencal,,$$,http://www.opentable.com/restaurant/profile/50314,www.lanoterestaurant.com,
41,200 Marina Blvd.,,"['Contemporary American', 'American']",37.8686350,-122.3137630,Bay Grille & Bar,,$$,http://www.opentable.com/restaurant/profile/57214,www.doubletree1.hilton.com/en_US/dt/hotel/JBKCADT-Doubletree-Hotel-Executive-Meeting-Center-Berkeley-Marina-California/dining,
4,2598 Telegraph Ave.,,"['Indian', 'Nepalese']",37.8633810,-122.2588880,Mount Everest Restaurant,,$$,http://www.opentable.com/restaurant/profile/61561,www.themounteverestrestaurant.com,
87,2315 Durant Ave.,,['French'],37.8673810,-122.2627580,Julia's at the Berkeley City Club,,$$,http://www.opentable.com/restaurant/profile/71002,berkeleycityclub.com/restaurant/,
87,2323 Shattuck Avenue,,['Indian'],37.8672370,-122.2672700,Namaste Madreas Cuisine,,$$,http://www.opentable.com/restaurant/profile/84985,www.namastemadrascuisine.com/,
56,2449 Sacramento Street,,['Indian'],37.8625520,-122.2810440,Mehak Indian Cuisine,,$$,http://www.opentable.com/restaurant/profile/85741,www.mehakindianberkeley.com/,
78,1923 University Avenue,,['Thai'],37.8717680,-122.2723890,Plearn Thai,,$$,http://www.opentable.com/restaurant/profile/89746,www.plearn1923.com,
40,3201 College Avenue,,"['Sushi', 'Japanese', 'Seafood']",37.8511330,-122.2523300,Mitama Japanese Restaurant,,$$,http://www.opentable.com/restaurant/profile/97501,mitamasushi.com,
52,1830 Fourth Street,,['Japanese'],37.8694330,-122.3007720,IYASARE,,$$,http://www.opentable.com/restaurant/profile/112783,www.iyasare-berkeley.com,
46,2512 San Pablo Ave,,"['Contemporary American', 'Gastro Pub', 'Comfort Food']",37.8606140,-122.2896420,Longbranch Saloon,,$$,http://www.opentable.com/restaurant/profile/157189,longbranchberkeley.com,
81,1919 Addison St,,"['Shabu-shabu', 'Sushi', 'Tapas / Small Plates']",37.8709670,-122.2718520,Zabu Zabu,,$$,http://www.opentable.com/restaurant/profile/159652,,
71,1799 University Ave,,"['Contemporary American', 'Breakfast', 'Café']",37.8715470,-122.2754960,Townie,,$$,http://www.opentable.com/restaurant/profile/160735,www.townie.bar,
25,1715 Solano Ave,,"['Asian', 'French']",37.8914140,-122.2822300,Vanessa's Bistro,,$$$,http://www.opentable.com/restaurant/profile/166318,vanessasbistro.com,
59,1695 Solano Ave,,['Japanese'],37.8914210,-122.2827980,Akemi,,$$,http://www.opentable.com/restaurant/profile/167794,www.akemiberkeley.com/,
7,1820 Fourth Street,,"['Mediterranean', 'Californian']",37.8697250,-122.3007180,Zut Tavern,,$$,http://www.opentable.com/restaurant/profile/173425,www.zutonfourth.com,
73,2026 San Pablo Avenue,,"['Spanish', 'Tapas / Small Plates', 'Wine Bar']",37.8686020,-122.2923490,La Marcha,,$$$,http://www.opentable.com/restaurant/profile/174415,www.Lamarchaberkeley.com,
93,2434 San Pablo Ave,,['Barbecue'],37.8618400,-122.2902870,Smoke Berkeley,,$$,http://www.opentable.com/restaurant/profile/188014,smokeberkeley.com/,
90,41 Tunnel Road,,"['Californian', 'American']",37.8588840,-122.2418880,Limewood Bar & Restaurant,,$$,http://www.opentable.com/restaurant/profile/211678,limewoodrestaurant.com,
91,41 Tunnel Road,,['American'],37.8588840,-122.2418880,Claremont Lobby Lounge & Bar,,$$$,http://www.opentable.com/restaurant/profile/211681,www.fairmont.com/claremont-berkeley/dining/lobby-lounge/,
35,2556 Telegraph Ave,,"['Fondue', 'Swiss']",37.8639200,-122.2586000,Fondue Fred,,$$,http://www.opentable.com/restaurant/profile/233779,www.fonduefred.com/,
20,2556 Telegraph Ave,,['Ethiopian'],37.8639300,-122.2589460,Finfine,,$$,http://www.opentable.com/restaurant/profile/244357,www.finfine.com,
33,3212 Adeline St,,['Ethiopian'],37.8501800,-122.2709700,Lemat Ethiopian Restaurant and Cafe,,$$$,http://www.opentable.com/restaurant/profile/270505,,
65,2451 Shattuck Avenue,,"['Middle Eastern', 'Californian', 'Vegetarian / Vegan']",37.8646830,-122.2668460,Saha,,$$,http://www.opentable.com/restaurant/profile/333124,www.sahaberkeley.com,
40,2420 Shattuck Ave,,"['Italian', 'Pizzeria']",37.8652840,-122.2679920,Gio's Pizza and Bocce,,$$,http://www.opentable.com/restaurant/profile/334018,giosberkeley.com,
88,913 University Ave,,"['Creperie', 'French']",37.8684870,-122.2962170,Brittany Crepes,,$$,http://www.opentable.com/restaurant/profile/334726,www.brittanycrepes.com,
34,1730 Shattuck Ave,,"['Italian', 'Sicilian']",37.8759370,-122.2690900,Agrodolce,,$$,http://www.opentable.com/restaurant/profile/340441,www.agrodolceberkeley.com,
98,1543 Shattuck Ave,,['Indian'],37.8787430,-122.2688420,Jotmahal Palace of Indian Cuisine,,$$,http://www.opentable.com/restaurant/profile/348106,www.jotmahal.com/,
53,2016 Shattuck Ave,,"['Italian', 'Pizzeria', 'Wine Bar']",37.8716600,-122.2683300,Lucia's,,$$,http://www.opentable.com/restaurant/profile/349174,http://www.luciaspizzeria.com/,
95,1954 University Avenue,,"['American', 'Californian']",37.8716820,-122.2716580,Maker's Common,,$$,http://www.opentable.com/restaurant/profile/442534,www.makerscommon.net/,
24,2556 Telegraph Ave,,['Peruvian'],37.8639200,-122.2586000,Arriba Peru,,$$$,http://www.opentable.com/restaurant/profile/442675,,
51,2085 Vine St,,"['Fusion / Eclectic', 'Contemporary American']",37.8803130,-122.2698670,Mission: Heirloom Garden Cafe,,$$,http://www.opentable.com/restaurant/profile/486073,missionheirloom.com/,
91,1181 University Ave,,['Thai'],37.8696100,-122.2901680,Eat @ Thai,,$$,http://www.opentable.com/restaurant/profile/729895,www.berkeleyeatatthai.com/,
50,1782 4th St,,"['Californian', 'American', 'Bistro']",37.8703030,-122.3013040,Pompette,,$$,http://www.opentable.com/restaurant/profile/730162,www.pompetteberkeley.com,
70,2020 Kittredge St,,"['Bistro', 'French', 'Creperie']",37.8679910,-122.2695230,Maison Bleue Berkeley,,$$,http://www.opentable.com/restaurant/profile/730267,https://maisonbleuecafe.com/,
19,2635 Ashby Avenue,,['Italian'],37.8571050,-122.2534870,donato&co.,,$$,http://www.opentable.com/restaurant/profile/740590,www.donatoandco.com,
21,2050 University Ave.,,"['Korean', 'Fusion / Eclectic', 'American']",37.8718250,-122.2694710,Berkeley Social Club,,$$,http://www.opentable.com/restaurant/profile/745255,www.berkeley-socialclub.com,
80,1508 Walnut St,,"['American', 'Californian']",37.8800010,-122.2683860,Nico's 1508,,$$,http://www.opentable.com/restaurant/profile/986320,nicos1508.net/restaurant/,
